,Listed Count,Location,Name,Retweet at,Time,Time Zone,Tweet
2121,3,"""in the impala with dean. ","""haleyeasciles_""",null,01:46:24,null,"['RT', 'Variety', 'TheLeftovers', 'creators', 'talk', 'challenging', 'the', 'audience', 'in', 'season', '2', 'premiering', 'tonight', 'http', 't', 'co', 'NsjXmhE8gL', 'http', 't', 'co', 'm38Qgm\xe2']"
2122,3,"""in the impala with dean. ","""haleyeasciles_""",null,01:46:24,null,"['RT', 'TheLeftoversHBO', 'Tonight', 'at', '9', 'TheLeftovers', 'returns', 'to', 'HBO', 'nhttps', 't', 'co', 'tuRLjd7nLh']"
2123,3,"""in the impala with dean. ","""haleyeasciles_""",null,01:46:25,null,"['RT', 'TheLeftoversHBO', 'WelcomeToMiracle', 'n', 'n', 'TheLeftovers', 'begins', 'now', 'on', 'HBO', 'http', 't', 'co', 'J4P1Rqtzlc']"
2124,7,"""Los Angeles, CA","""katalinav""",null,01:46:26,"""Pacific Time (US & Canada)""","['What', 'Is', 'Going', 'On', 'TheLeftovers']"
2125,3,"""in the impala with dean. ","""haleyeasciles_""",null,01:46:26,null,"['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2126,130,"""Baltimore, MD","""BrandonAmbro""",null,01:46:27,"""Eastern Time (US & Canada)""","['Raise', 'your', 'hand', 'if', 'you', 're', 'screaming', 'DON', 'T', 'DO', 'IT', 'JOHN', 'at', 'the', 'TV', 'right', 'now', 'TheLeftovers']"
2127,8,"""Ohio","""AMDull""",null,01:46:27,"""Eastern Time (US & Canada)""","['This', 'TGIF', 'reunion', 'on', 'TheLeftovers', 'is', 'amazing', 'perfectstrangers', 'familymatters', 'HBO', 'TheLeftoversHBO']"
2128,64,"""Austin, Texas","""cashUT""",null,01:46:27,"""Central Time (US & Canada)""","['Is', 'David', 'Lynch', 'behind', 'TheLeftovers', 'this', 'season']"
2129,3,nul,"""gmsmith0910""",null,01:46:27,"""Eastern Time (US & Canada)""","['I', 'have', 'absolutely', 'no', 'idea', 'what', 'is', 'going', 'on', 'in', 'this', 'episode', 'TheLeftovers']"
2130,13,nul,"""willgarski""",null,01:46:28,"""Brasilia""","['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2131,1,"""Newark, NJ","""GeminiPrncs85""","""TheLeftoversHBO""",01:46:30,null,"['TheLeftoversHBO', 'Seriously', 'Jerry', '\xf0', '\xaa\xf0', '\xf0', '\xf0', 'TheLeftovers']"
2132,9,nul,"""EspinosaGrierss""",null,01:46:31,"""Brasilia""","['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2133,180,"""Nashville, TN","""TVandDinners""",null,01:46:31,"""Central Time (US & Canada)""","['what', 'the', 'fudge', 'TheLeftovers']"
2134,2,"""✈bae's heart ♥","""ABBEYduckling""",null,01:46:32,"""Arizona""","['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2135,2,"""New York","""AponteJsmoove""",null,01:46:32,null,"['Just', 'like', 'season', '1', 'Showing', 'us', 'weird', 's', 'without', 'explaining', 'anything', 'TheLeftovers']"
2136,1,nul,"""theREAL_AndrewK""",null,01:46:33,"""Eastern Time (US & Canada)""","['This', 'dude', 'just', 'killed', 'a', 'goat', 'in', 'a', 'Denny', 's', 'and', 'no', 'one', 'did', 'anything', 'TheLeftovers']"
2137,2,"""New York NY","""softinside10""",null,01:46:38,"""Eastern Time (US & Canada)""","['Nooooo', 'don', 't', 'put', 'your', 'hand', 'in', 'there', 'TheLeftovers']"
2138,21,"""Santa Bárbara D'Oeste  Brasil","""GeehMagagnato""",null,01:46:42,"""Brasilia""","['RT', 'TheLeftoversHBO', 'Tonight', 'at', '9', 'TheLeftovers', 'returns', 'to', 'HBO', 'nhttps', 't', 'co', 'tuRLjd7nLh']"
2139,13,"""Los Angeles ","""Jazz_minBrown""",null,01:46:44,"""Pacific Time (US & Canada)""","['AHHHH', 'intense', 'TheLeftovers']"
2140,12,"""ioooooowa","""leirariel450""",null,01:46:44,"""Central Time (US & Canada)""","['and', 'to', 'think', 'i', 'was', 'celebrating', 'TheLeftovers', 'for', 'not', 'killing', 'a', 'dog', 'on', 'their', 'first', 'episode', 'poorgoat']"
2141,5,"""Somewhere in the Lower 48","""Anocksoonamoon""",null,01:46:45,null,"['C', 'mon', 'you', 're', 'just', 'asking', 'for', 'it', 'dude', 'TheLeftovers']"
